last,first,area
Carstensen,Laura,Affective
Gotlib,Ian,Affective
Gross,James,Affective
Knutson,Brian,Affective
Tsai,Jeanne,Affective
Zaki,Jamil,Affective
Ram,Nilam,Affective
Frank,Michael,Cognitive/Developmental
Gerstenberg,Tobias,Cognitive
Goodman,Noah,Cognitive
McClelland,James,Cognitive
Dweck,Carol,Developmental/Social
Gweon,Hyowon,Developmental
Markman,Ellen,Developmental
Roberts,Steven,Developmental/Social
Gardner,Justin,Neuroscience
Grill-Spector ,Kalanit,Neuroscience
Norcia,Anthony,Neuroscience
Poldrack,Russell,Neuroscience
Wagner,Anthony,Neuroscience
Yamins,Daniel,Neuroscience
Wandell,Brian,Neuroscience
Crum,Alia,Social
Eberhardt,Jennifer,Social
Markus,Hazel,Social
Steele ,Claude,Social
Walton,Gregory,Social
Cohen,Geoffrey,Social
Monin,Benoît,Social
Yeatman,Jason,Neuroscience
Eichstaedt,Johannes,Affective
